"Bwidow.zip","BWIDOW","BWIDOW","fbneo",
"Bzone.zip","BATTLE ZONE (REV 2)","BATTLE ZONE (REV 2)","fbneo",
"Bzone2.zip","BZONE2","BZONE2","fbneo",
"Cabal.zip","CABAL (WORLD, JOYSTICK)","CABAL (WORLD, JOYSTICK)","fbneo",
"Cadillacs And Dinosaurs.zip","CADILLACS AND DINOSAURS","CADILLACS AND DINOSAURS","fbneo",
"Cairblad.zip","CAIRBLAD","CAIRBLAD","fbneo",
"Calspeed.zip","CALSPEED","CALSPEED","fbneo",
"Canyon.zip","CANYON BOMBER","CANYON BOMBER","fbneo",
"Capbowl.zip","CAPCOM BOWLING (SET 1)","CAPCOM BOWLING (SET 1)","fbneo",
"Capcom Sports Club.zip","CAPCOM SPORTS CLUB","CAPCOM SPORTS CLUB","fbneo",
"Capcom World 2 - Adventure Quiz.zip","CAPCOM WORLD 2 - ADVENTURE QUIZ","CAPCOM WORLD 2 - ADVENTURE QUIZ","fbneo",
"Capsnka.zip","CAPSNKA","CAPSNKA","fbneo",
"Captain Commando.zip","CAPTAIN COMMANDO","CAPTAIN COMMANDO","fbneo",
"Captain Tomaday.zip","CAPTAIN TOMADAY","CAPTAIN TOMADAY","fbneo",
"Captaven.zip","CAPTAIN AMERICA AND THE AVENGERS (ASIA REV 1.4)","CAPTAIN AMERICA AND THE AVENGERS (ASIA REV 1.4)","fbneo",
"Captcomm.zip","CAPTAIN COMMANDO (911202 WORLD)","CAPTAIN COMMANDO (911202 WORLD)","fbneo",
"Caractn.zip","CARACTN","CARACTN","fbneo",
"Ccjap.zip","CCJAP","CCJAP","fbneo",
"Charlien.zip","CHARLIEN","CHARLIEN","fbneo",
"Chelnovj.zip","CHELNOV - ATOMIC RUNNER (JAPAN)","CHELNOV - ATOMIC RUNNER (JAPAN)","fbneo",
"Circusc2.zip","CIRCUS CHARLIE (LEVEL SELECT, SET 2)","CIRCUS CHARLIE (LEVEL SELECT, SET 2)","fbneo",
"Ckongs.zip","CRAZY KONG (BOOTLEG ON SCRAMBLE HARDWARE)","CRAZY KONG (BOOTLEG ON SCRAMBLE HARDWARE)","fbneo",
"Clbowl.zip","COORS LIGHT BOWLING","COORS LIGHT BOWLING","fbneo",
"Cninja.zip","CNINJA","CNINJA","fbneo",
"Colony7a.zip","COLONY 7 (SET 2)","COLONY 7 (SET 2)","fbneo",
"Cottonbm.zip","COTTONBM","COTTONBM","fbneo",
"Csilverj.zip","CAPTAIN SILVER (JAPAN REVISION 3)","CAPTAIN SILVER (JAPAN REVISION 3)","fbneo",
"Cstlevna.zip","CSTLEVNA","CSTLEVNA","fbneo",
"Ctribe.zip","THE COMBATRIBES (US, REV 2, SET 1)","THE COMBATRIBES (US, REV 2, SET 1)","fbneo",
"Cvs2gd.zip","CVS2GD","CVS2GD","fbneo",
"Cyberbots Fullmetal Madness.zip","CYBERBOTS FULLMETAL MADNESS","CYBERBOTS FULLMETAL MADNESS","fbneo",
"Cyber-Lip.zip","CYBER-LIP","CYBER-LIP","fbneo",
"Czykong.zip","CZYKONG","CZYKONG","fbneo",
"Dangerz.zip","DANGERZ","DANGERZ","fbneo",
"Darius.zip","DARIUS (WORLD)","DARIUS (WORLD)","fbneo",
"Darius2.zip","DARIUS II (TRIPLE SCREEN) (JAPAN)","DARIUS II (TRIPLE SCREEN) (JAPAN)","fbneo",
"Dariusg.zip","DARIUS GAIDEN - SILVER HAWK (VER 2.5O 1994/09/19)","DARIUS GAIDEN - SILVER HAWK (VER 2.5O 1994/09/19)","fbneo",
"Darkplnt.zip","DARK PLANET","DARK PLANET","fbneo",
"Darkseal.zip","DARK SEAL (WORLD REVISION 3)","DARK SEAL (WORLD REVISION 3)","fbneo",
"Darkstalkers The Night Warriors.zip","DARKSTALKERS THE NIGHT WARRIORS","DARKSTALKERS THE NIGHT WARRIORS","fbneo",
"Dassault.zip","DESERT ASSAULT (US)","DESERT ASSAULT (US)","fbneo",
"Dbreed.zip","DRAGON BREED (WORLD, M81 HARDWARE)","DRAGON BREED (WORLD, M81 HARDWARE)","fbneo",
"Dbz.zip","DRAGONBALL Z (REV B)","DRAGONBALL Z (REV B)","fbneo",
"Dbz2.zip","DRAGONBALL Z 2 - SUPER BATTLE","DRAGONBALL Z 2 - SUPER BATTLE","fbneo",
"Dbzvrvs.zip","DRAGON BALL Z V.R.V.S. (JAPAN, REV A)","DRAGON BALL Z V.R.V.S. (JAPAN, REV A)","fbneo",
"Dday.zip","D-DAY","D-DAY","fbneo",
"Ddrago3b.zip","DDRAGO3B","DDRAGO3B","fbneo",
"Ddragon.zip","DOUBLE DRAGON (JAPAN)","DOUBLE DRAGON (JAPAN)","fbneo",
"Ddragon2.zip","DOUBLE DRAGON II - THE REVENGE (WORLD)","DOUBLE DRAGON II - THE REVENGE (WORLD)","fbneo",
"Ddribble.zip","DOUBLE DRIBBLE","DOUBLE DRIBBLE","fbneo",
"Ddsom.zip","DUNGEONS & DRAGONS - SHADOW OVER MYSTARA (960619 EURO)","DUNGEONS & DRAGONS - SHADOW OVER MYSTARA (960619 EURO)","fbneo",
