path;name;Adult;Date;arcadesystemname;hidden;core;description;developer;emulator;famille;favorite;gameidSS;gametime;genre;genreid;hash;kid;lang;lastplayed;md5;mode;playcount;players;publisher;rating;ratio;region;rotation;sortname;tags;temporary;bezel;boxback;boxart;cartridge;extra1;fanart;image;magazine;manual;maps;marquee;mix;roundwheel;screenshot;titleshot;thumbnail;video;wheel;roundwheel
./Bzone2.Mame.ZIP;BZONE2.MAME;false;;;false;;;;;;false;;0;;0;688F1944;false;;;006174cbb765531cb0b952c8002c0520;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Cairblad.Suposto-Mame.zip;CAIRBLAD.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;6CA3F646;false;;;5604f6c3d4c81b6fb30dba2cbfc3d58b;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Capcom World 2 - Adventure Quiz.Cps1.zip;CAPCOM WORLD 2 - ADVENTURE QUIZ.CPS1;false;;;false;;;;;;false;;0;;0;E94C92F3;false;;;8e8b86351f747c9ef3a80134f6a473bf;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Capsnka.Suposto-Mame.zip;CAPSNKA.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;073E9072;false;;;2370c8336f715d44259d13d4e7062716;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Captaven.Suposto-Mame.zip;CAPTAVEN.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;0A3454C7;false;;;8215a4876b30204a5d1893dd4a11eda6;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Captcomm.Suposto-Mame.zip;CAPTCOMM.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;6BC563DE;false;;;9e852c91e299e297105fe42199e4b125;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Cbuster.Suposto-Mame.zip;CBUSTER.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;E35C9BC7;false;;;f1e64346b253c75f16c0a9e90354c7d4;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ccboot.Mame.ZIP;CCBOOT.MAME;false;;;false;;;;;;false;;0;;0;576B7896;false;;;422fbe740aff05ffaf4ff51c81eae3cc;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ccjap.Mame.ZIP;CCJAP.MAME;false;;;false;;;;;;false;145807;0;;0;92E634CB;false;;;59854ff9fcd125fb21e1e6b75c69b203;;0;;;;;;;;;;;;;;;;;;;;;;;./media/screenshots/Ccjap.Mame-screenshot.png;./media/image/Ccjap.Mame-titleshot.png;;;;
./Charlien.Suposto-Mame.zip;CHARLIEN.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;D0B61267;false;;;d1ac3f34086364acc0df6ad5910b4037;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Chplft.Mame.zip;CHPLFT.MAME;false;;;false;;;;;;false;;0;;0;DE4EE088;false;;;309806853b9669f7e003269486666e80;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Circus.Mame.ZIP;CIRCUS.MAME;false;;;false;;;;;;false;;0;;0;031B1423;false;;;2c99a3bc85bdfdcedcfbd16729491f09;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ckong.Mame.ZIP;CKONG.MAME;false;;;false;;;;;;false;;0;;0;1AF0B0A4;false;;;9712af80f1e6b525fa350136f0b1d05d;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
